ቀትለ	ቀተለ	kill 
በሽለ	በሰለ	become cooked, mature, ripen
ነድቀ	ነደቐ	built
ለብሰ	ለበሰ	cover, dress, put cloth on
ቀርበ	ቀረበ 	approach 
በልሰ	መ'ለሰ	answer, reply
በትከ	በተኸ	cut
ፈግረ	ከደ፡ ወጽአ 	went, left
ፈጥነ	ፈለጠ	be conscious 
ቀንጸ	ሓፍ በለ፡ ተንስአ	got up
ረክበ	ረኸበ	found
ሰትረ	ሰተረ	hid
ለክፈ 	ደርበየ 	threw
ሸርበ	ጭለጠ፡ ሰተየ	devour
ደንረረ 	ደንጐየ	be late 
ሰክበ 	ደቀሰ	sleep
ወደ/ወድየ 	ገበረ፡ ወደየ	do, make
መዘ'ነ	መዘነ	weigh
ዐደ'መ	ዓደመ	invite
ገረ'መ	ጸበቐ/ገረመ	be beautiful 
ከየነ	ኣታለለ 	deceive
ደገ'መ	ተረተ፡ ነገረ፡ ኣዘንተወ	narrate, told 
ከበ'ረ	ዜና ሃበ፡ ሓበረ	give news
ከብረ 	ከበረ	be honored 
ሐፍሰ	ሓፈሰ፡ ብክልተ ኢዱ ሓፈሰ 	take with both hands 
ሐፍሰ 	ሓፈሰ	be thick (liquid)
ሐፍነ	ሞቘ፡ ረሰነ 	become hot
ሸከ''ረ 	ወደሰ	praise
ሸክረ	ሰኸረ 	become drunk
ሰብረ	ሰበረ 	break to pieces 
ቀየደ  	ቀየደ 	tie, fasten, chain
ለክፈ	ደርበየ፡ ወርወረ 	throw
ሐልፈ	ሓለፈ 	pass
ሐመ 	ሓመየ	gossip
ሐመ'	ሓመመ	be sick 
ኣታ	ኣተወ	enter
ተክለ	ተኸለ፡ ዘርአ	plant
ሐረደ	ሓረደ	slaughter
ከለ'	ወደአ፡ ጨረሰ፡ ፈጸመ	terminate
ሰረሐ 	ኣሰነየ፡ ኣፋነወ 	see off, accompanied
ሰርሐ	ሰርሐ	create, made
መራመረ	መራመረ	examine thoroughly 
መርመረ	መርመረ	examine, consider
ጌሰ	ከደ	went 
ሐርሰ	ሓረሰ 	plough
ከልአ	ኣበየ 	refuse
ሰባበረ 	ሰባበረ	break thoroughly 
ሸረመ	ጨረመ 	cut into strips
ለምደ	ለመደ 	become accustomed, become used to
ዘምተ	ዘመተ	loot
ፈንፈነ	ፈንፈነ	abhor
ቀጥረ	ነጠበ	trickle 
መጽአ 	መጽአ	come
ጠላ'	ጠለለ	be wet 
ባህረረ	ባህረረ	be frightened 
ትዳለ	ተዳለወ	be ready
ትገሰ	ኮፍ በለ	sit down
ትላሓመ	ተላሕሙ 	join together, glue 
ሐድገ	ሓደገ	leave
ሐድረ	ሓደረ	dwell, spend the night
ሐላለከ 		exert oneself a little
ከተበ 	ከተበ 	vaccinate
ዐርገ 	ዓረገ 	ascend 
አዐርገ	ኣዕረገ 	make ascend 
አበ'ሰ	ኣበ''ሰ	sin 
ሐጽበ 	ሓጸበ	wash
ሐበ'ረ	ሓበረ፡ ተሓወሰ 	join 
በልዐ	በልዐ	eat
ሸመ''ዐ	ሸመ''ዐ	wax, daub with wax 
ደውረ	ዘወረ 	go around
ቀየ'ሰ	ቀየሰ፡ ዓቀነ 	measure 
ለወጠ	ለወጠ	exchange
ሞተ	ሞተ	die
ጾመ	ጾመ	fast
ሸቀ	ሸቀለ	work
ፈሰ 	ዘልዘለ	cut meat for drying 
ትቃለ''	ተቐልወ 	be roasted
ትመየ	ሓደረ	pass the night
ተዋለ	ተመርሐ	be led
አግለ 	ኣጐለ 	go bad (egg) 
ርአ	ርኣየ	see
ሐየ	ሓወየ	heal
በአ	ኣተወ	enter 
ቀሐ	ቀየሐ	get red
ቃአ	ኣምለሰ	vomit
ወዐለ	ወዓለ	spend the day
ወሐደ	ወሓደ	be little 
ወሃበ	ወሃበ	give
ሔሰ	ሓየሸ	be better 
ቤለ	በለ/ኣለ	say
ከልጠ	ገገየ/ ተጋገየ	make a mistake
ደረ'በ	ደረበ	tie together
ደርበ	ደርበየ	throw
ደርዘ	ደረዘ	massage
ደረ'ከ	ደረኸ 	jolt 
ጨሐመ	ጨሓመ	grow a beard
ዘብጠ	ዘበጠ	hit
ዘርገ	ዘረገ	confuse, spoil 
ዔረ	ዓወረ 	become blind
